"id","item","rt","resp"
86,1,4.517,0
105,1,3.077,0
46,1,6.195,0
54,1,3.859,0
87,1,5.281,0
116,1,2.132,0
64,1,6.194,0
112,1,5.855,0
121,1,4.129,0
90,1,3.726,0
65,1,3.619,0
93,1,3.897,0
44,1,6.38,0
120,1,3.859,0
57,1,1.003,0
69,1,1.993,0
61,1,1.024,0
73,1,2.747,0
79,2,5.595,0
74,2,4.235,0
102,2,7.018,0
68,2,6.099,0
108,2,1.449,0
57,2,2.371,0
89,2,6.241,0
84,2,4.101,0
61,2,0.937,0
89,3,5.857,0
72,3,3.717,0
83,3,7.102,0
82,3,3.67,0
98,3,3.033,0
115,3,2.151,0
51,3,7.405,0
116,3,1.819,0
90,3,2.517,0
100,3,2.469,0
108,3,2.144,0
111,3,5.537,0
96,3,5.349,0
55,3,2.177,0
106,3,7.125,0
95,3,6.41,0
72,4,3.504,0
67,4,4.699,0
102,4,4.536,0
47,4,4.259,0
117,4,6.635,0
70,4,5.899,0
73,4,6.731,0
82,4,4.059,0
105,4,4.967,0
85,4,1.658,0
55,4,1.606,0
118,4,3.218,0
50,4,2.842,0
112,4,5.823,0
69,4,2.322,0
101,4,2.925,0
51,4,5.387,0
64,4,5.515,0
88,4,2.438,0
108,4,1.678,0
92,4,5.203,0
113,4,4.567,0
54,4,4.042,0
57,4,1.179,0
49,4,4.204,0
98,4,1.201,0
96,5,5.335,0
75,5,2.789,0
95,5,4.261,0
89,5,6.733,0
78,5,3.5,0
107,5,1.871,0
69,5,1.669,0
57,5,1.084,0
58,6,1.844,0
83,6,3.212,0
108,6,1.579,0
57,6,1.011,0
79,6,2.906,0
96,6,7.059,0
101,6,3.601,0
70,6,3.132,0
80,6,2.052,0
82,6,4.106,0
62,6,3.835,0
45,6,2.971,0
68,6,7.267,0
57,7,1.067,0
65,7,5.932,0
107,7,5.091,0
55,7,1.176,0
85,7,2.602,0
89,7,5.386,0
116,7,3.034,0
82,7,5.159,0
69,7,1.62,0
72,7,3.86,0
91,7,4.428,0
89,8,3.985,0
113,8,4.588,0
78,8,1.506,0
57,8,0.961,0
44,9,4.837,0
121,9,2.059,0
98,9,4.79,0
68,9,4.379,0
105,9,5.11,0
116,9,3.119,0
54,9,3.86,0
47,9,2.642,0
85,9,3.219,0
111,9,3.118,0
61,9,0.882,0
86,9,2.451,0
108,9,1.331,0
120,9,1.627,0
83,10,2.585,0
72,10,3.676,0
81,10,2.644,0
57,10,1.14,0
54,10,2.371,0
71,10,3.334,0
85,10,2.378,0
88,10,1.63,0
121,10,7.262,0
90,10,2.923,0
102,10,2.959,0
110,10,6.202,0
44,10,4.478,0
95,10,4.89,0
92,10,4.143,0
113,10,2.948,0
5,1,2.569,1
92,1,2.734,1
49,1,3.628,1
107,1,2.101,1
53,1,2.403,1
17,1,1.198,1
12,1,3.931,1
37,1,5.683,1
110,1,1.942,1
106,1,5.055,1
9,1,1.451,1
117,1,2.371,1
40,1,2.954,1
81,1,1.883,1
24,1,4.288,1
94,1,2.075,1
62,1,3.626,1
2,1,4.508,1
74,1,1.707,1
19,1,1.334,1
32,1,1.952,1
36,1,1.791,1
78,1,5.467,1
95,1,5.288,1
96,1,4.324,1
98,1,4.763,1
52,1,5.055,1
27,1,1.652,1
88,1,1.851,1
22,1,2.27,1
29,1,2.84,1
70,1,5.011,1
63,1,2.531,1
101,1,2.218,1
47,1,3.396,1
115,1,3.636,1
14,1,1.775,1
28,1,2.469,1
109,1,1.569,1
99,1,4.215,1
50,1,2.691,1
108,1,3.833,1
119,1,3.108,1
56,1,3.667,1
82,1,3.392,1
31,1,3.381,1
51,1,2.859,1
39,1,2.742,1
42,1,2.133,1
58,1,2.499,1
41,1,2.676,1
1,1,4.444,1
10,1,3.813,1
76,1,3.939,1
84,1,6.643,1
8,1,2.468,1
15,1,2.207,1
30,1,1.487,1
23,1,1.506,1
111,1,4.686,1
104,1,2.3,1
7,1,4.127,1
3,1,1.7,1
6,1,4.623,1
43,1,3.032,1
103,1,2.312,1
89,1,2.142,1
68,1,2.699,1
85,1,2.415,1
21,1,1.493,1
83,1,2.97,1
25,1,1.688,1
77,1,3.787,1
79,1,2.569,1
60,1,3.667,1
34,1,1.486,1
114,1,4.491,1
97,1,5.862,1
35,1,2.226,1
91,1,2.352,1
45,1,2.195,1
20,1,3.645,1
102,1,2.109,1
71,1,5.869,1
113,1,3.764,1
13,1,0.979,1
18,1,3.034,1
38,1,1.947,1
66,1,3.059,1
59,1,1.483,1
118,1,2.144,1
16,1,2.497,1
55,1,2.146,1
33,1,3.765,1
67,1,5.059,1
4,1,1.636,1
26,1,5.629,1
100,1,2.224,1
80,1,2.962,1
75,1,2.674,1
11,1,1.477,1
72,1,5.46,1
14,2,1.98,1
33,2,3.699,1
8,2,5.723,1
4,2,2.63,1
15,2,1.249,1
29,2,2.921,1
62,2,2.571,1
88,2,0.735,1
64,2,5.69,1
16,2,2.741,1
40,2,1.884,1
86,2,3.088,1
87,2,6.815,1
70,2,1.779,1
100,2,2.882,1
17,2,2.528,1
69,2,1.201,1
43,2,2.829,1
65,2,2.945,1
66,2,1.563,1
18,2,3.206,1
63,2,1.386,1
37,2,4.319,1
30,2,1.171,1
34,2,2.163,1
39,2,2.882,1
28,2,1.932,1
105,2,3.233,1
52,2,1.338,1
107,2,2.198,1
114,2,1.571,1
26,2,3.253,1
111,2,1.007,1
78,2,1.841,1
49,2,5.484,1
110,2,1.244,1
13,2,0.839,1
80,2,2.963,1
118,2,1.706,1
91,2,2.312,1
10,2,3.263,1
103,2,1.312,1
82,2,4.32,1
11,2,0.997,1
106,2,4.711,1
71,2,4.281,1
72,2,3.219,1
1,2,2.328,1
59,2,4.34,1
19,2,1.176,1
121,2,6.254,1
75,2,2.083,1
116,2,0.724,1
22,2,4.243,1
94,2,1.733,1
60,2,0.923,1
6,2,3.021,1
51,2,1.458,1
48,2,2.802,1
44,2,4.073,1
3,2,1.205,1
54,2,3.056,1
85,2,1.401,1
20,2,2.77,1
12,2,4.766,1
31,2,2.176,1
67,2,5.882,1
38,2,1.808,1
9,2,3.219,1
101,2,2.171,1
113,2,1.657,1
97,2,2.973,1
98,2,4.338,1
92,2,2.594,1
27,2,2.921,1
99,2,3.403,1
23,2,1.005,1
117,2,1.32,1
32,2,1.178,1
104,2,1.536,1
41,2,2.449,1
58,2,2.418,1
83,2,2.922,1
81,2,2.658,1
5,2,1.65,1
77,2,1.602,1
25,2,1.841,1
115,2,2.128,1
36,2,2.037,1
96,2,5.323,1
46,2,3.522,1
73,2,4.427,1
35,2,4.408,1
24,2,4.818,1
90,2,6.246,1
21,2,1.317,1
45,2,2.13,1
95,2,3.496,1
76,2,5.578,1
42,2,1.98,1
2,2,4.424,1
112,2,4.424,1
7,2,1.677,1
55,2,0.858,1
56,2,0.923,1
47,2,3.354,1
119,2,5.265,1
120,2,2.093,1
53,2,2.681,1
26,3,4.592,1
84,3,5.263,1
67,3,2.468,1
113,3,1.125,1
81,3,3.109,1
61,3,0.972,1
86,3,2.861,1
53,3,2.532,1
78,3,3.926,1
117,3,2.894,1
120,3,2.477,1
24,3,3.156,1
22,3,1.489,1
110,3,1.319,1
48,3,6.237,1
77,3,4.629,1
35,3,4.166,1
99,3,6.281,1
88,3,1.316,1
103,3,2.97,1
59,3,2.597,1
118,3,5.366,1
7,3,4.554,1
42,3,2.934,1
4,3,1.454,1
109,3,4.08,1
92,3,2.886,1
9,3,2.421,1
16,3,1.694,1
39,3,4.596,1
69,3,1.54,1
40,3,1.671,1
19,3,0.882,1
101,3,6.445,1
18,3,2.661,1
32,3,2.002,1
33,3,3.469,1
23,3,4.605,1
121,3,4.539,1
21,3,2.28,1
8,3,4.204,1
50,3,2.388,1
34,3,2.296,1
41,3,2.009,1
38,3,2.267,1
45,3,2.453,1
119,3,2.494,1
47,3,4.148,1
54,3,4.66,1
13,3,1.387,1
75,3,2.508,1
36,3,2.536,1
11,3,1.508,1
5,3,2.514,1
49,3,4.742,1
73,3,3.884,1
114,3,3.968,1
28,3,2.369,1
58,3,2.045,1
80,3,2.293,1
93,3,2.381,1
102,3,4.232,1
63,3,1.931,1
76,3,2.326,1
15,3,2.033,1
85,3,4.243,1
66,3,4.349,1
6,3,3.205,1
64,3,6.812,1
17,3,2.294,1
60,3,2.117,1
30,3,1.473,1
12,3,3.816,1
87,3,5.951,1
65,3,4.06,1
68,3,5.972,1
104,3,3.45,1
44,3,3.967,1
56,3,2.117,1
3,3,1.216,1
31,3,4.617,1
97,3,3.427,1
79,3,3.069,1
91,3,3.683,1
107,3,3.848,1
1,3,3.408,1
25,3,3.079,1
10,3,3.149,1
14,3,2.964,1
105,3,5.18,1
37,3,3.326,1
112,3,6.017,1
43,3,3.042,1
52,3,2.521,1
20,3,5.889,1
27,3,2.939,1
71,3,1.8,1
29,3,3.821,1
74,3,3.452,1
70,3,3.036,1
62,3,2.829,1
46,3,4.691,1
57,3,1.116,1
99,4,4.494,1
71,4,3.059,1
59,4,3.41,1
52,4,3.302,1
66,4,3.588,1
86,4,2.946,1
116,4,1.145,1
94,4,3.352,1
30,4,2.861,1
11,4,2.175,1
111,4,4.958,1
77,4,6.916,1
107,4,5.396,1
3,4,1.265,1
16,4,1.501,1
75,4,3.779,1
39,4,4.832,1
95,4,3.71,1
8,4,3.967,1
37,4,2.789,1
45,4,6.097,1
80,4,2.977,1
56,4,3.107,1
9,4,1.658,1
29,4,4.565,1
78,4,5.955,1
110,4,1.447,1
24,4,4.209,1
119,4,5.482,1
58,4,3.043,1
89,4,3.059,1
32,4,3.559,1
13,4,1.905,1
27,4,2.776,1
34,4,2.148,1
62,4,5.443,1
19,4,2.88,1
115,4,5.638,1
65,4,5.466,1
93,4,3.811,1
121,4,4.609,1
68,4,6.33,1
103,4,3.436,1
100,4,6.539,1
84,4,2.394,1
25,4,2.767,1
79,4,4.691,1
21,4,4.48,1
90,4,4.806,1
7,4,1.729,1
38,4,2.904,1
10,4,3.706,1
20,4,5.957,1
91,4,3.379,1
53,4,3.523,1
83,4,5.292,1
76,4,3.867,1
36,4,3.284,1
42,4,3.119,1
2,4,5.745,1
104,4,1.683,1
114,4,6.527,1
23,4,3.066,1
96,4,4.561,1
5,4,4.2,1
22,4,5.205,1
97,4,3.28,1
15,4,1.987,1
63,4,1.986,1
106,4,5.497,1
61,4,1.146,1
4,4,2.599,1
28,4,4.382,1
31,4,3.27,1
18,4,5.497,1
6,4,4.62,1
48,4,3.683,1
74,4,3.138,1
14,4,2.856,1
60,4,3.107,1
12,4,4.862,1
41,4,2.806,1
120,4,4.732,1
87,4,6.438,1
33,4,3.291,1
81,4,2.802,1
1,4,5.134,1
40,4,1.277,1
50,5,1.684,1
70,5,2.043,1
1,5,2.653,1
98,5,1.419,1
15,5,1.59,1
17,5,1.301,1
93,5,1.883,1
23,5,1.7,1
33,5,1.62,1
115,5,1.525,1
106,5,1.751,1
99,5,4.2,1
84,5,4.479,1
61,5,1.272,1
83,5,3.708,1
66,5,2.884,1
9,5,1.64,1
52,5,1.72,1
79,5,1.437,1
80,5,2.356,1
85,5,1.866,1
48,5,4.428,1
58,5,1.995,1
22,5,1.469,1
56,5,1.508,1
81,5,2.18,1
16,5,2.497,1
87,5,3.617,1
35,5,2.752,1
21,5,2.002,1
119,5,2.099,1
5,5,1.362,1
53,5,1.947,1
28,5,4.126,1
77,5,3.989,1
120,5,3.904,1
6,5,2.036,1
27,5,2.408,1
90,5,4.196,1
103,5,2.077,1
39,5,3.221,1
24,5,2.12,1
2,5,4.169,1
47,5,1.876,1
92,5,2.019,1
76,5,2.709,1
42,5,2.136,1
25,5,1.481,1
41,5,3.229,1
13,5,1.601,1
55,5,1.101,1
88,5,1.712,1
37,5,5.326,1
72,5,3.02,1
111,5,2.453,1
104,5,3.453,1
12,5,5.144,1
64,5,2.107,1
91,5,2.694,1
30,5,1.19,1
11,5,0.936,1
43,5,1.917,1
118,5,2.659,1
14,5,1.693,1
67,5,3.284,1
74,5,2.244,1
116,5,1.051,1
18,5,2.257,1
4,5,1.812,1
19,5,1.363,1
3,5,3.109,1
8,5,3.049,1
86,5,1.56,1
63,5,1.94,1
65,5,3.484,1
105,5,2.073,1
121,5,4.481,1
54,5,3.244,1
31,5,1.721,1
112,5,4.66,1
94,5,2.941,1
46,5,3.564,1
36,5,1.195,1
10,5,2.185,1
109,5,2.056,1
38,5,1.344,1
110,5,1.893,1
102,5,1.652,1
114,5,2.403,1
101,5,2.258,1
40,5,1.605,1
82,5,3.887,1
26,5,3.565,1
49,5,2.125,1
60,5,1.508,1
7,5,2.808,1
29,5,2.105,1
51,5,3.012,1
45,5,1.844,1
34,5,2.399,1
117,5,2.796,1
32,5,1.817,1
113,5,2.554,1
71,5,2.269,1
62,5,1.924,1
108,5,1.842,1
100,5,5.308,1
68,5,4.276,1
73,5,2.164,1
59,5,1.78,1
44,5,3.132,1
112,6,2.807,1
3,6,1.04,1
64,6,3.147,1
76,6,5.853,1
4,6,2.007,1
54,6,4.042,1
119,6,1.692,1
49,6,3.308,1
25,6,2.238,1
100,6,1.541,1
67,6,2.963,1
18,6,3.215,1
106,6,1.965,1
77,6,3.82,1
40,6,1.356,1
105,6,1.882,1
86,6,1.498,1
8,6,2.926,1
34,6,1.923,1
102,6,2.671,1
50,6,2.324,1
39,6,2.471,1
52,6,5.044,1
103,6,1.528,1
89,6,2.1,1
65,6,3.739,1
35,6,3.541,1
81,6,1.747,1
48,6,3.164,1
92,6,2.678,1
14,6,1.917,1
84,6,1.941,1
24,6,3.14,1
121,6,2.913,1
71,6,2.876,1
42,6,2.233,1
19,6,1.048,1
113,6,2.399,1
47,6,3.091,1
36,6,2.112,1
107,6,3.301,1
10,6,3.126,1
99,6,2.397,1
94,6,2.723,1
2,6,3.187,1
61,6,0.961,1
73,6,2.932,1
13,6,1.258,1
95,6,2.419,1
5,6,2.114,1
23,6,3.543,1
109,6,5.43,1
63,6,2.54,1
32,6,1.135,1
116,6,1.744,1
115,6,1.776,1
6,6,2.015,1
29,6,1.879,1
111,6,2.989,1
33,6,2.915,1
55,6,1.971,1
69,6,2.003,1
17,6,1.955,1
93,6,1.735,1
7,6,1.098,1
21,6,1.729,1
9,6,1.895,1
22,6,1.835,1
41,6,2.96,1
117,6,1.357,1
53,6,2.515,1
31,6,2.13,1
98,6,2.427,1
59,6,2.02,1
104,6,2.365,1
28,6,3.656,1
44,6,3.267,1
12,6,4.028,1
97,6,3.464,1
43,6,2.866,1
75,6,3.179,1
15,6,1.852,1
56,6,2.251,1
74,6,2.795,1
38,6,2.842,1
16,6,2.436,1
1,6,2.607,1
85,6,3.368,1
66,6,2.82,1
88,6,2.173,1
110,6,1.842,1
26,6,2.92,1
60,6,2.251,1
30,6,3.738,1
91,6,2.144,1
46,6,4.355,1
120,6,3.52,1
37,6,3.577,1
78,6,2.118,1
87,6,3.262,1
118,6,3.258,1
51,6,2.099,1
11,6,1.013,1
90,6,3.822,1
27,6,2.12,1
114,6,2.509,1
35,7,2.794,1
61,7,0.878,1
45,7,2.797,1
17,7,1.985,1
106,7,2.267,1
19,7,1.366,1
70,7,3.26,1
88,7,1.853,1
20,7,3.749,1
4,7,1.644,1
108,7,2.88,1
1,7,3.126,1
62,7,3.741,1
76,7,2.829,1
103,7,2.128,1
114,7,4.143,1
49,7,4.924,1
60,7,2.852,1
97,7,3.607,1
117,7,3.431,1
5,7,1.89,1
64,7,3.724,1
50,7,3.339,1
79,7,1.837,1
56,7,2.852,1
86,7,2.965,1
90,7,3.722,1
3,7,1.244,1
22,7,1.843,1
113,7,2.778,1
111,7,2.103,1
92,7,2.421,1
74,7,3.051,1
34,7,2.899,1
104,7,3.755,1
39,7,2.681,1
102,7,2.23,1
15,7,2.36,1
21,7,1.722,1
11,7,1.574,1
41,7,0.689,1
52,7,3.27,1
2,7,4.721,1
93,7,2.351,1
98,7,3.246,1
32,7,1.338,1
42,7,1.577,1
63,7,2.509,1
112,7,3.897,1
81,7,1.884,1
78,7,2.044,1
18,7,2.95,1
67,7,3.724,1
101,7,4.025,1
13,7,1.365,1
47,7,1.844,1
75,7,3.692,1
54,7,4.459,1
7,7,2.007,1
16,7,3.698,1
109,7,2.711,1
33,7,2.779,1
36,7,2.448,1
51,7,2.268,1
30,7,2.289,1
121,7,6.212,1
100,7,4.412,1
23,7,2.575,1
77,7,3.82,1
37,7,3.063,1
99,7,3.125,1
40,7,1.484,1
66,7,2.22,1
115,7,1.878,1
95,7,4.084,1
105,7,3.596,1
119,7,2.493,1
14,7,4.554,1
44,7,3.193,1
96,7,3.724,1
10,7,1.806,1
118,7,3.288,1
120,7,5.11,1
9,7,1.507,1
73,7,3.605,1
87,7,6.129,1
12,7,5.581,1
43,7,1.884,1
84,7,4.034,1
25,7,1.727,1
28,7,2.859,1
59,7,5.748,1
53,7,2.404,1
46,7,5.58,1
24,7,2.436,1
38,7,3.126,1
6,7,2.905,1
94,7,4.782,1
29,7,5.008,1
83,7,4.332,1
58,7,2.26,1
8,7,4.487,1
27,7,4.262,1
110,7,3.3,1
48,7,3.571,1
31,7,3.755,1
26,7,3.897,1
80,7,2.331,1
101,8,2.239,1
77,8,2.858,1
52,8,3.24,1
98,8,2.105,1
33,8,2.342,1
24,8,3.218,1
117,8,1.292,1
8,8,1.552,1
64,8,4.882,1
87,8,5.688,1
46,8,4.595,1
6,8,2.539,1
112,8,2.269,1
16,8,1.968,1
49,8,1.882,1
73,8,2.977,1
71,8,2.197,1
2,8,3.056,1
88,8,0.918,1
82,8,3.074,1
118,8,2.366,1
86,8,4.199,1
105,8,2.699,1
114,8,2.108,1
92,8,3.302,1
62,8,1.329,1
119,8,1.973,1
12,8,3.964,1
120,8,1.855,1
66,8,2.905,1
28,8,4.467,1
107,8,1.273,1
93,8,1.046,1
11,8,0.966,1
53,8,2.649,1
15,8,1.481,1
74,8,2.298,1
25,8,1.305,1
83,8,2.236,1
42,8,2.367,1
70,8,2.506,1
1,8,2.869,1
10,8,1.542,1
54,8,4.193,1
23,8,0.909,1
56,8,1.249,1
84,8,1.474,1
58,8,2.243,1
7,8,5.225,1
121,8,3.078,1
9,8,0.965,1
81,8,1.418,1
85,8,1.351,1
60,8,1.249,1
55,8,1.217,1
69,8,1.977,1
51,8,3.338,1
4,8,2.253,1
90,8,2.32,1
104,8,1.152,1
3,8,1.743,1
76,8,2.755,1
116,8,1.93,1
17,8,1.469,1
26,8,3.268,1
80,8,2.971,1
91,8,5.637,1
45,8,1.298,1
22,8,1.387,1
111,8,1.213,1
61,8,0.921,1
109,8,3.55,1
21,8,1.215,1
48,8,2.506,1
38,8,1.665,1
39,8,1.868,1
47,8,2.29,1
106,8,1.938,1
37,8,3.195,1
95,8,2.489,1
100,8,3.333,1
29,8,2.082,1
30,8,1.526,1
102,8,1.64,1
41,8,2.052,1
44,8,2.632,1
94,8,1.764,1
99,8,3.472,1
31,8,1.461,1
63,8,1.754,1
5,8,1.683,1
103,8,1.329,1
18,8,1.79,1
65,8,5.586,1
43,8,1.927,1
79,8,2.018,1
19,8,0.821,1
35,8,3.94,1
75,8,2.642,1
20,8,3.256,1
13,8,0.756,1
108,8,1.865,1
36,8,1.58,1
14,8,1.663,1
59,8,1.339,1
50,8,3.163,1
68,8,4.595,1
34,8,1.039,1
40,8,1.349,1
115,8,1.709,1
32,8,1.202,1
72,8,2.842,1
27,8,1.319,1
97,8,3.071,1
110,8,1.404,1
67,8,2.794,1
117,9,3.933,1
15,9,2.413,1
50,9,3.5,1
95,9,4.434,1
71,9,1.985,1
96,9,6.299,1
52,9,2.061,1
106,9,6.578,1
5,9,1.633,1
40,9,0.979,1
46,9,2.522,1
9,9,3.049,1
88,9,1.376,1
97,9,3.724,1
59,9,1.202,1
11,9,1.203,1
75,9,3.483,1
79,9,3.443,1
90,9,4.746,1
103,9,1.848,1
80,9,2.715,1
34,9,1.531,1
13,9,1.063,1
55,9,1.774,1
100,9,3.621,1
65,9,4.009,1
36,9,2.291,1
72,9,4.698,1
14,9,2.97,1
73,9,5.851,1
37,9,4.32,1
104,9,5.003,1
33,9,2.929,1
19,9,1.38,1
4,9,1.3,1
62,9,2.211,1
115,9,2.414,1
58,9,2.787,1
92,9,3.013,1
30,9,1.508,1
2,9,4.404,1
56,9,1.867,1
29,9,3.315,1
84,9,5.125,1
70,9,3.954,1
10,9,2.25,1
31,9,3.808,1
102,9,2.948,1
89,9,3.806,1
66,9,4.379,1
21,9,1.24,1
64,9,3.307,1
94,9,2.062,1
3,9,1.842,1
49,9,2.979,1
107,9,2.536,1
20,9,4.036,1
114,9,3.615,1
18,9,2.55,1
6,9,3.488,1
118,9,3.755,1
39,9,3.162,1
60,9,1.867,1
45,9,3.435,1
7,9,2.159,1
63,9,2.851,1
22,9,3.416,1
83,9,3.551,1
109,9,2.698,1
78,9,3.3,1
87,9,3.962,1
24,9,2.893,1
67,9,3.266,1
93,9,2.733,1
38,9,1.916,1
25,9,1.241,1
91,9,4.939,1
48,9,2.514,1
119,9,2.488,1
99,9,1.905,1
74,9,2.794,1
82,9,3.906,1
8,9,2.048,1
27,9,3.321,1
1,9,3.271,1
12,9,4.697,1
35,9,4.089,1
69,9,2.45,1
57,9,1.49,1
51,9,2.802,1
41,9,2.539,1
16,9,3.435,1
43,9,1.991,1
101,9,3.109,1
110,9,1.579,1
23,9,3.851,1
53,9,2.77,1
76,9,2.491,1
17,9,2.744,1
77,9,2.411,1
42,9,1.994,1
81,9,3.579,1
32,9,1.302,1
113,9,2.114,1
10,10,5.18,1
97,10,6.721,1
8,10,3.31,1
61,10,0.936,1
67,10,3.893,1
14,10,3.671,1
46,10,6.812,1
115,10,4.541,1
5,10,2.262,1
59,10,2.851,1
98,10,3.67,1
47,10,5.531,1
62,10,5.284,1
55,10,4.937,1
32,10,2.126,1
108,10,3.551,1
19,10,3.239,1
60,10,3.683,1
53,10,6.404,1
28,10,2.17,1
70,10,4.636,1
68,10,4.363,1
34,10,2.705,1
100,10,5.894,1
101,10,4.699,1
22,10,2.121,1
42,10,2,1
58,10,4.971,1
33,10,3.701,1
37,10,2.786,1
78,10,3.339,1
12,10,5.366,1
52,10,4.147,1
117,10,3.314,1
39,10,4.764,1
114,10,4.948,1
89,10,5.678,1
116,10,2.642,1
84,10,4.807,1
15,10,4.137,1
112,10,3.3,1
24,10,5.965,1
21,10,3.037,1
51,10,4.94,1
75,10,3.771,1
105,10,4.278,1
20,10,5.698,1
25,10,2.332,1
48,10,3.972,1
9,10,1.761,1
1,10,5.447,1
4,10,2.424,1
29,10,5.227,1
41,10,0.923,1
18,10,2.019,1
2,10,3.867,1
103,10,6.894,1
49,10,4.196,1
66,10,5.172,1
7,10,2.429,1
38,10,3.276,1
107,10,3.317,1
86,10,5.443,1
104,10,3.559,1
26,10,4.624,1
69,10,2.532,1
99,10,4.764,1
79,10,5.004,1
16,10,3.233,1
13,10,2.455,1
23,10,2.157,1
35,10,4.11,1
30,10,2.213,1
106,10,3.506,1
74,10,5.867,1
80,10,2.531,1
27,10,5.383,1
3,10,1.377,1
119,10,2.971,1
93,10,2.739,1
77,10,3.581,1
120,10,4.748,1
45,10,5.316,1
111,10,2.047,1
31,10,3.735,1
56,10,3.683,1
40,10,2.785,1
91,10,4.384,1
17,10,3.099,1
109,10,5.742,1
36,10,2.485,1
118,10,4.664,1
82,10,5.792,1
63,10,5.476,1
11,10,2.07,1
94,10,4.744,1
